data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2022-01-03 02:00:45.997728;1072;TRANSPORTES COLETIVOS TREVO LTDA;IXC2026;M. BENZ;O-500M                                            ;2016-02-16;2015;DIESEL
2022-01-03 02:00:45.997728;1067;TRANSPORTES COLETIVOS TREVO LTDA;ISM8B91;M. BENZ;OF 1722                                           ;2011-11-22;2011;DIESEL
2022-01-03 02:00:45.997728;1127;TRANSPORTES COLETIVOS TREVO LTDA;IQJ0947;M. BENZ;OF 1722M                                          ;2009-12-09;2009;DIESEL
2022-01-03 02:00:45.997728;4446;VIACAO ALTO PETROPOLIS LTDA;IQD4659;M. BENZ;O-500M                                            ;2009-09-23;2009;DIESEL
2022-01-03 02:00:45.997728;737;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3886;VOLVO                                             ;B7R                                               ;2010-07-16;2010;DIESEL
2022-01-03 02:00:45.997728;801;COMPANHIA CARRIS PORTO ALEGRENSE;ISW3588;M. BENZ;O500MA                                            ;2010-12-31;2010;DIESEL
2022-01-03 02:00:45.997728;837;COMPANHIA CARRIS PORTO ALEGRENSE;IWK4766;VOLVO                                             ;B290R                                             ;2015-03-18;2014;DIESEL
2022-01-03 02:00:45.997728;827;COMPANHIA CARRIS PORTO ALEGRENSE;IWK4931;VOLVO                                             ;B340MA                                            ;2015-03-20;2014;DIESEL
2022-01-03 02:00:45.997728;15;COMPANHIA CARRIS PORTO ALEGRENSE;JAC7I89;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2022-01-03 02:00:45.997728;30;COMPANHIA CARRIS PORTO ALEGRENSE;JAC7I69;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2022-01-03 02:00:45.997728;683;COMPANHIA CARRIS PORTO ALEGRENSE;IQD5804;VOLVO                                             ;B7R                                               ;2009-09-24;2009;DIESEL
2022-01-03 02:00:45.997728;672;COMPANHIA CARRIS PORTO ALEGRENSE;IQD5861;VOLVO                                             ;B7R                                               ;2009-09-24;2009;DIESEL
2022-01-03 02:00:45.997728;739;COMPANHIA CARRIS PORTO ALEGRENSE;IQY3894;VOLVO                                             ;B7R                                               ;2010-07-16;2010;DIESEL
2022-01-03 02:00:45.997728;764;COMPANHIA CARRIS PORTO ALEGRENSE;IRA3902;M. BENZ;O500 U                                            ;2010-08-12;2010;DIESEL
2022-01-03 02:00:45.997728;72;COMPANHIA CARRIS PORTO ALEGRENSE;JAD8G52;M. BENZ;OF 1721L;2020-08-14;2020;DIESEL
2022-01-03 02:00:45.997728;75;COMPANHIA CARRIS PORTO ALEGRENSE;JAD8J06;M. BENZ;OF 1721L;2020-08-14;2020;DIESEL
2022-01-03 02:00:45.997728;2230;VIACAO TERESOPOLIS CAVALHADA LTDA;ISM2792;M. BENZ;OF 1722                                           ;2011-11-12;2011;DIESEL
2022-01-03 02:00:45.997728;2101;VIACAO TERESOPOLIS CAVALHADA LTDA;IRO1381;M. BENZ;OF 1722M                                          ;2011-01-22;2010;DIESEL
2022-01-03 02:00:45.997728;2158;VIACAO TERESOPOLIS CAVALHADA LTDA;IXB9291;M. BENZ;O-500M                                            ;2016-02-13;2015;DIESEL
2022-01-03 02:00:45.997728;3097;SUDESTE TRANSPORTES COLETIVOS LTDA;IRM7340;M. BENZ;OF 1722M                                          ;2010-12-31;2010;DIESEL
2022-01-03 02:00:45.997728;3321;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1068;M. BENZ;O-500M                                            ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;1130;TRANSPORTES COLETIVOS TREVO LTDA;IXB9413;M. BENZ;O500MA                                            ;2016-02-10;2015;DIESEL
2022-01-03 02:00:45.997728;6625;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC0906;M. BENZ;OF 1721                                           ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;6746;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IOY4259;M. BENZ;OF 1722M                                          ;2008-07-24;2008;DIESEL
2022-01-03 02:00:45.997728;6686;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IYW2066;M. BENZ;OF 1721                                           ;2018-10-29;2018;DIESEL
2022-01-03 02:00:45.997728;6676;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IQA0140;M. BENZ;O-500M                                            ;2009-08-08;2009;DIESEL
2022-01-03 02:00:45.997728;3069;SUDESTE TRANSPORTES COLETIVOS LTDA;IQC2881;M. BENZ;O-500M                                            ;2009-09-10;2009;DIESEL
2022-01-03 02:00:45.997728;3132;SUDESTE TRANSPORTES COLETIVOS LTDA;ITW5244;M. BENZ;O500MA                                            ;2012-12-21;2012;DIESEL
2022-01-03 02:00:45.997728;1096;TRANSPORTES COLETIVOS TREVO LTDA;IRJ5409;M. BENZ;OF 1722M                                          ;2010-12-01;2010;DIESEL
2022-01-03 02:00:45.997728;4485;VIACAO ALTO PETROPOLIS LTDA;IPG5826;M. BENZ;O-500M                                            ;2008-10-29;2008;DIESEL
2022-01-03 02:00:45.997728;6418;NORTRAN TRANSPORTES COLETIVOS LTDA;IXC0812;M. BENZ;OF 1721                                           ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;6470;NORTRAN TRANSPORTES COLETIVOS LTDA;IXC0846;M. BENZ;OF 1721                                           ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;3331;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1028;M. BENZ;O500 U                                            ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;1124;TRANSPORTES COLETIVOS TREVO LTDA;IXC2017;M. BENZ;O-500M                                            ;2016-02-16;2015;DIESEL
2022-01-03 02:00:45.997728;1107;TRANSPORTES COLETIVOS TREVO LTDA;IXC1014;VW                                       ;17230                                             ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;1211;TRANSPORTES COLETIVOS TREVO LTDA;ISA6047;M. BENZ;O500MA                                            ;2011-06-28;2010;DIESEL
2022-01-03 02:00:45.997728;1059;TRANSPORTES COLETIVOS TREVO LTDA;IRJ5393;M. BENZ;OF 1722M                                          ;2010-12-01;2010;DIESEL
2022-01-03 02:00:45.997728;6728;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IQY1430;M. BENZ;O-500M                                            ;2010-07-14;2010;DIESEL
2022-01-03 02:00:45.997728;3068;SUDESTE TRANSPORTES COLETIVOS LTDA;IQC2890;M. BENZ;O-500M                                            ;2009-09-09;2009;DIESEL
2022-01-03 02:00:45.997728;3063;SUDESTE TRANSPORTES COLETIVOS LTDA;IPE7137;M. BENZ;OF 1722M                                          ;2008-10-02;2008;DIESEL
2022-01-03 02:00:45.997728;6428;NORTRAN TRANSPORTES COLETIVOS LTDA;ISJ6891;M. BENZ;OF 1722                                           ;2011-10-18;2011;DIESEL
2022-01-03 02:00:45.997728;6444;NORTRAN TRANSPORTES COLETIVOS LTDA;IOY7083;M. BENZ;OF 1722M                                          ;2008-07-29;2008;DIESEL
2022-01-03 02:00:45.997728;6568;NORTRAN TRANSPORTES COLETIVOS LTDA;IXC1225;M. BENZ;O500MA                                            ;2016-02-17;2015;DIESEL
2022-01-03 02:00:45.997728;6505;NORTRAN TRANSPORTES COLETIVOS LTDA;IQA2652;M. BENZ;O-500M                                            ;2009-08-13;2009;DIESEL
2022-01-03 02:00:45.997728;6422;NORTRAN TRANSPORTES COLETIVOS LTDA;IZQ0E88;M. BENZ;OF 1721L;2019-10-16;2019;DIESEL
2022-01-03 02:00:45.997728;2352;VIACAO BELEM NOVO LTDA;IXC1624;M. BENZ;OF 1721                                           ;2016-02-16;2015;DIESEL
2022-01-03 02:00:45.997728;2297;VIACAO BELEM NOVO LTDA;IXC8556;M. BENZ;OF 1721                                           ;2016-03-02;2015;DIESEL
2022-01-03 02:00:45.997728;4498;VIACAO ALTO PETROPOLIS LTDA;ITT6B93;M. BENZ;OF 1721                                           ;2012-11-29;2012;DIESEL
2022-01-03 02:00:45.997728;6524;NORTRAN TRANSPORTES COLETIVOS LTDA;IRD9698;M. BENZ;O-500M                                            ;2010-09-30;2010;DIESEL
2022-01-03 02:00:45.997728;6439;NORTRAN TRANSPORTES COLETIVOS LTDA;IOH0306;M. BENZ;OF 1722M                                          ;2007-11-28;2007;DIESEL
2022-01-03 02:00:45.997728;6482;NORTRAN TRANSPORTES COLETIVOS LTDA;IOA0024;M. BENZ;OF 1722M                                          ;2007-08-15;2007;DIESEL
2022-01-03 02:00:45.997728;6421;NORTRAN TRANSPORTES COLETIVOS LTDA;IZQ0F15;M. BENZ;OF 1721L;2019-10-16;2019;DIESEL
2022-01-03 02:00:45.997728;4016;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IRO1645;M. BENZ;OF 1722M                                          ;2011-01-25;2010;DIESEL
2022-01-03 02:00:45.997728;4012;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IPL9641;M. BENZ;OF 1722M                                          ;2009-01-21;2008;DIESEL
2022-01-03 02:00:45.997728;6118;AUTO VIACAO NAVEGANTES LTDA;IPK1756;M. BENZ;OF 1722M                                          ;2008-12-23;2008;DIESEL
2022-01-03 02:00:45.997728;2041;AUTO VIACAO PRESIDENTE VARGAS LTDA;IQC5549;M. BENZ;O-500M                                            ;2009-09-11;2009;DIESEL
2022-01-03 02:00:45.997728;6672;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISI8919;M. BENZ;OF 1722                                           ;2011-10-05;2011;DIESEL
2022-01-03 02:00:45.997728;1071;TRANSPORTES COLETIVOS TREVO LTDA;IXC1037;VW                                       ;17230                                             ;2016-02-15;2015;DIESEL
2022-01-03 02:00:45.997728;1060;TRANSPORTES COLETIVOS TREVO LTDA;IPI5787;M. BENZ;OF 1722M                                          ;2008-11-29;2008;DIESEL
2022-01-03 02:00:45.997728;1030;TRANSPORTES COLETIVOS TREVO LTDA;IPI5777;M. BENZ;OF 1722M                                          ;2008-11-29;2008;DIESEL
2022-01-03 02:00:45.997728;1159;TRANSPORTES COLETIVOS TREVO LTDA;ISM2649;M. BENZ;OF 1722                                           ;2011-11-12;2011;DIESEL
2022-01-03 02:00:45.997728;674;COMPANHIA CARRIS PORTO ALEGRENSE;IQD5871;VOLVO                                             ;B7R                                               ;2009-09-24;2009;DIESEL
2022-01-03 02:00:45.997728;652;COMPANHIA CARRIS PORTO ALEGRENSE;IPI3276;VW                                       ;17260                                             ;2008-11-25;2008;DIESEL
2022-01-03 02:00:45.997728;68;COMPANHIA CARRIS PORTO ALEGRENSE;JAD8J76;M. BENZ;OF 1721L;2020-08-14;2020;DIESEL
2022-01-03 02:00:45.997728;10;COMPANHIA CARRIS PORTO ALEGRENSE;JAC8D44;M. BENZ;OF 1721L;2020-07-29;2020;DIESEL
2022-01-03 02:00:45.997728;842;COMPANHIA CARRIS PORTO ALEGRENSE;IWK6365;VOLVO                                             ;B290R                                             ;2015-03-24;2014;DIESEL
2022-01-03 02:00:45.997728;682;COMPANHIA CARRIS PORTO ALEGRENSE;IQD5836;VOLVO                                             ;B7R                                               ;2009-09-24;2009;DIESEL
2022-01-03 02:00:45.997728;680;COMPANHIA CARRIS PORTO ALEGRENSE;IQD5898;VOLVO                                             ;B7R                                               ;2009-09-25;2009;DIESEL
2022-01-03 02:00:45.997728;790;COMPANHIA CARRIS PORTO ALEGRENSE;ISY5464;M. BENZ;O-500M                                            ;2012-04-11;2011;DIESEL
2022-01-03 02:00:45.997728;642;COMPANHIA CARRIS PORTO ALEGRENSE;IPI3171;VW                                       ;17260                                             ;2008-11-25;2008;DIESEL
2022-01-03 02:00:45.997728;6801;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISX6329;M. BENZ;OF 1722                                           ;2012-03-23;2011;DIESEL
2022-01-03 02:00:45.997728;6707;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;ISN1338;M. BENZ;O-500M                                            ;2011-11-25;2011;DIESEL
2022-01-03 02:00:45.997728;3108;SUDESTE TRANSPORTES COLETIVOS LTDA;ISO0872;M. BENZ;O-500M                                            ;2011-12-09;2011;DIESEL
